,session,exercise,name,user,url,commits,runs,completed,completed_at,failed
18,02,08,02-08_matching-brackets,brackets,https://api.github.com/repos/DB-Teaching/02-08_matching-brackets,1,0,0,[],0
19,02,09,02-09_binary-search,search,https://api.github.com/repos/DB-Teaching/02-09_binary-search,1,0,0,[],0
20,02,10,02-10_reverse-string,string,https://api.github.com/repos/DB-Teaching/02-10_reverse-string,1,0,0,[],0
21,02,11,02-11_isbn-verifier,verifier,https://api.github.com/repos/DB-Teaching/02-11_isbn-verifier,1,0,0,[],0
22,02,12,02-12_rna-transcription,transcription,https://api.github.com/repos/DB-Teaching/02-12_rna-transcription,1,0,0,[],0
23,02,13,02-13_pig-latin,latin,https://api.github.com/repos/DB-Teaching/02-13_pig-latin,1,0,0,[],0
24,02,14,02-14_darts,14_darts,https://api.github.com/repos/DB-Teaching/02-14_darts,1,0,0,[],0
25,03,01,03-01_phone-number,number,https://api.github.com/repos/DB-Teaching/03-01_phone-number,1,0,0,[],0
26,03,02,03-02_armstrong-numbers,numbers,https://api.github.com/repos/DB-Teaching/03-02_armstrong-numbers,1,0,0,[],0
27,03,03,03-03_nth-prime,prime,https://api.github.com/repos/DB-Teaching/03-03_nth-prime,1,0,0,[],0
28,03,04,03-04_sum-of-multiples,multiples,https://api.github.com/repos/DB-Teaching/03-04_sum-of-multiples,1,0,0,[],0
29,03,05,03-05_prime-factors,factors,https://api.github.com/repos/DB-Teaching/03-05_prime-factors,1,0,0,[],0
30,03,06,03-06_beer-song,song,https://api.github.com/repos/DB-Teaching/03-06_beer-song,1,0,0,[],0
31,03,07,03-07_flatten-array,array,https://api.github.com/repos/DB-Teaching/03-07_flatten-array,1,0,0,[],0
32,03,08,03-08_atbash-cipher,cipher,https://api.github.com/repos/DB-Teaching/03-08_atbash-cipher,1,0,0,[],0
33,03,09,03-09_series,09_series,https://api.github.com/repos/DB-Teaching/03-09_series,1,0,0,[],0
34,03,10,03-10_anagram,10_anagram,https://api.github.com/repos/DB-Teaching/03-10_anagram,1,0,0,[],0
35,01,09,01-09_resistor-color,color,https://api.github.com/repos/DB-Teaching/01-09_resistor-color,1,0,0,[],0
36,03,12,03-12_list-ops,ops,https://api.github.com/repos/DB-Teaching/03-12_list-ops,1,0,0,[],0
37,03,13,03-13_house,13_house,https://api.github.com/repos/DB-Teaching/03-13_house,1,0,0,[],0
38,01,10,01-10_resistor-color-duo,duo,https://api.github.com/repos/DB-Teaching/01-10_resistor-color-duo,1,0,0,[],0
39,01,11,01-11_high-scores,scores,https://api.github.com/repos/DB-Teaching/01-11_high-scores,1,0,0,[],0
40,04,01,04-01_etl,01_etl,https://api.github.com/repos/DB-Teaching/04-01_etl,1,0,0,[],0
41,04,02,04-02_say,02_say,https://api.github.com/repos/DB-Teaching/04-02_say,1,0,0,[],0
42,04,03,04-03_wordy,03_wordy,https://api.github.com/repos/DB-Teaching/04-03_wordy,1,0,0,[],0
43,04,04,04-04_crypto-square,square,https://api.github.com/repos/DB-Teaching/04-04_crypto-square,1,0,0,[],0
44,04,04,04-04_hamming,04_hamming,https://api.github.com/repos/DB-Teaching/04-04_hamming,1,0,0,[],0
45,04,05,04-05_matrix,05_matrix,https://api.github.com/repos/DB-Teaching/04-05_matrix,1,0,0,[],0
46,04,06,04-06_minesweeper,06_minesweeper,https://api.github.com/repos/DB-Teaching/04-06_minesweeper,1,0,0,[],0
47,04,07,04-07_palindrome-products,products,https://api.github.com/repos/DB-Teaching/04-07_palindrome-products,1,0,0,[],0
48,04,08,04-08_raindrops,08_raindrops,https://api.github.com/repos/DB-Teaching/04-08_raindrops,1,0,0,[],0
49,04,09,04-09_robot-name,name,https://api.github.com/repos/DB-Teaching/04-09_robot-name,1,0,0,[],0
50,05,01,05-01_robot-simulator,simulator,https://api.github.com/repos/DB-Teaching/05-01_robot-simulator,1,0,0,[],0
51,05,02,05-02_roman-numerals,numerals,https://api.github.com/repos/DB-Teaching/05-02_roman-numerals,1,0,0,[],0
52,05,03,05-03_rotational-cipher,cipher,https://api.github.com/repos/DB-Teaching/05-03_rotational-cipher,1,0,0,[],0
53,05,04,05-04_run-length-encoding,encoding,https://api.github.com/repos/DB-Teaching/05-04_run-length-encoding,1,0,0,[],0
54,05,05,05-05_secret-handshake,handshake,https://api.github.com/repos/DB-Teaching/05-05_secret-handshake,1,0,0,[],0
55,05,06,05-06_sieve,06_sieve,https://api.github.com/repos/DB-Teaching/05-06_sieve,1,0,0,[],0
56,05,07,05-07_space-age,age,https://api.github.com/repos/DB-Teaching/05-07_space-age,1,0,0,[],0
57,05,08,05-08_spiral-matrix,matrix,https://api.github.com/repos/DB-Teaching/05-08_spiral-matrix,1,0,0,[],0
58,05,09,05-09_transpose,09_transpose,https://api.github.com/repos/DB-Teaching/05-09_transpose,1,0,0,[],0
59,07,01,07-01_meetup,01_meetup,https://api.github.com/repos/DB-Teaching/07-01_meetup,1,0,0,[],0
60,07,02,07-02_dnd-character,character,https://api.github.com/repos/DB-Teaching/07-02_dnd-character,1,0,0,[],0
61,07,03,07-03_simple-linked-list,list,https://api.github.com/repos/DB-Teaching/07-03_simple-linked-list,1,0,0,[],0
62,07,04,07-04_scale-generator,generator,https://api.github.com/repos/DB-Teaching/07-04_scale-generator,1,0,0,[],0
63,07,05,07-05_go-counting,counting,https://api.github.com/repos/DB-Teaching/07-05_go-counting,1,0,0,[],0
64,07,06,07-06_luhn,06_luhn,https://api.github.com/repos/DB-Teaching/07-06_luhn,1,0,0,[],0
65,07,07,07-07_clock,07_clock,https://api.github.com/repos/DB-Teaching/07-07_clock,1,0,0,[],0
66,07,08,07-08_complex-numbers,numbers,https://api.github.com/repos/DB-Teaching/07-08_complex-numbers,1,0,0,[],0
67,07,09,07-09_allergies,09_allergies,https://api.github.com/repos/DB-Teaching/07-09_allergies,1,0,0,[],0
68,07,10,07-10_linked-list,list,https://api.github.com/repos/DB-Teaching/07-10_linked-list,1,0,0,[],0
69,07,11,07-11_kindergarten-garden,garden,https://api.github.com/repos/DB-Teaching/07-11_kindergarten-garden,1,0,0,[],0
70,07,12,07-12_connect,12_connect,https://api.github.com/repos/DB-Teaching/07-12_connect,1,0,0,[],0
71,07,13,07-13_simple-cipher,cipher,https://api.github.com/repos/DB-Teaching/07-13_simple-cipher,1,0,0,[],0
72,07,14,07-14_tree-building,building,https://api.github.com/repos/DB-Teaching/07-14_tree-building,1,0,0,[],0
73,07,15,07-15_grade-school,school,https://api.github.com/repos/DB-Teaching/07-15_grade-school,1,0,0,[],0
74,07,16,07-16_circular-buffer,buffer,https://api.github.com/repos/DB-Teaching/07-16_circular-buffer,1,0,0,[],0
75,08,01,08-01_grep,01_grep,https://api.github.com/repos/DB-Teaching/08-01_grep,1,0,0,[],0
76,08,02,08-02_poker,02_poker,https://api.github.com/repos/DB-Teaching/08-02_poker,1,0,0,[],0
77,08,03,08-03_rectangles,03_rectangles,https://api.github.com/repos/DB-Teaching/08-03_rectangles,1,0,0,[],0
78,08,04,08-04_change,04_change,https://api.github.com/repos/DB-Teaching/08-04_change,1,0,0,[],0
79,08,05,08-05_all-your-base,base,https://api.github.com/repos/DB-Teaching/08-05_all-your-base,1,0,0,[],0
80,08,06,08-06_diffie-hellman,hellman,https://api.github.com/repos/DB-Teaching/08-06_diffie-hellman,1,0,0,[],0
81,08,07,08-07_variable-length-quantity,quantity,https://api.github.com/repos/DB-Teaching/08-07_variable-length-quantity,1,0,0,[],0
82,08,08,08-08_largest-series-product,product,https://api.github.com/repos/DB-Teaching/08-08_largest-series-product,1,0,0,[],0
83,08,09,08-09_ocr-numbers,numbers,https://api.github.com/repos/DB-Teaching/08-09_ocr-numbers,1,0,0,[],0
84,08,10,08-10_rail-fence-cipher,cipher,https://api.github.com/repos/DB-Teaching/08-10_rail-fence-cipher,1,0,0,[],0
85,08,11,08-11_food-chain,chain,https://api.github.com/repos/DB-Teaching/08-11_food-chain,1,0,0,[],0
86,08,12,08-12_saddle-points,points,https://api.github.com/repos/DB-Teaching/08-12_saddle-points,1,0,0,[],0
87,08,13,08-13_protein-translation,translation,https://api.github.com/repos/DB-Teaching/08-13_protein-translation,1,0,0,[],0
88,08,14,08-14_acronym,14_acronym,https://api.github.com/repos/DB-Teaching/08-14_acronym,1,0,0,[],0
89,08,15,08-15_scrabble-score,score,https://api.github.com/repos/DB-Teaching/08-15_scrabble-score,1,0,0,[],0
90,08,16,08-16_markdown,16_markdown,https://api.github.com/repos/DB-Teaching/08-16_markdown,1,0,0,[],0
91,08,17,08-17_isogram,17_isogram,https://api.github.com/repos/DB-Teaching/08-17_isogram,1,0,0,[],0
92,08,18,08-18_word-count,count,https://api.github.com/repos/DB-Teaching/08-18_word-count,1,0,0,[],0
93,09,01,09-01_affine-cipher,cipher,https://api.github.com/repos/DB-Teaching/09-01_affine-cipher,1,0,0,[],0
94,09,02,09-02_binary-search-tree,tree,https://api.github.com/repos/DB-Teaching/09-02_binary-search-tree,1,0,0,[],0
95,09,03,09-03_book-store,store,https://api.github.com/repos/DB-Teaching/09-03_book-store,1,0,0,[],0
96,09,04,09-04_bowling,04_bowling,https://api.github.com/repos/DB-Teaching/09-04_bowling,1,0,0,[],0
97,09,05,09-05_custom-set,set,https://api.github.com/repos/DB-Teaching/09-05_custom-set,1,0,0,[],0
98,09,06,09-06_dot-dsl,dsl,https://api.github.com/repos/DB-Teaching/09-06_dot-dsl,1,0,0,[],0
99,09,07,09-07_forth,07_forth,https://api.github.com/repos/DB-Teaching/09-07_forth,1,0,0,[],0
100,09,08,09-08_hangman,08_hangman,https://api.github.com/repos/DB-Teaching/09-08_hangman,1,0,0,[],0
101,09,09,09-09_knapsack,09_knapsack,https://api.github.com/repos/DB-Teaching/09-09_knapsack,1,0,0,[],0
102,10,01,10-01_ledger,01_ledger,https://api.github.com/repos/DB-Teaching/10-01_ledger,1,0,0,[],0
103,10,02,10-02_rational-numbers,numbers,https://api.github.com/repos/DB-Teaching/10-02_rational-numbers,1,0,0,[],0
104,10,03,10-03_tournament,03_tournament,https://api.github.com/repos/DB-Teaching/10-03_tournament,1,0,0,[],0
105,10,04,10-04_twelve-days,days,https://api.github.com/repos/DB-Teaching/10-04_twelve-days,1,0,0,[],0
106,10,05,10-05_two-bucket,bucket,https://api.github.com/repos/DB-Teaching/10-05_two-bucket,1,0,0,[],0
107,10,06,10-06_zebra-puzzle,puzzle,https://api.github.com/repos/DB-Teaching/10-06_zebra-puzzle,1,0,0,[],0
108,10,07,10-07_alphametics,07_alphametics,https://api.github.com/repos/DB-Teaching/10-07_alphametics,1,0,0,[],0
109,10,08,10-08_react,08_react,https://api.github.com/repos/DB-Teaching/10-08_react,1,0,0,[],0
110,11,01,11-01_word-search,search,https://api.github.com/repos/DB-Teaching/11-01_word-search,1,0,0,[],0
111,11,02,11-02_zipper,02_zipper,https://api.github.com/repos/DB-Teaching/11-02_zipper,1,0,0,[],0
112,11,03,11-03_dominoes,03_dominoes,https://api.github.com/repos/DB-Teaching/11-03_dominoes,1,0,0,[],0
