,session,exercise,name,user,url,commits,runs,completed,failed
339,03,13,03-13-house-OliviaA22,OliviaA22,https://github.com/DB-Teaching/03-13-house-OliviaA22,3,1,0,0
340,02,02,02-02-triangle-Amit021,Amit021,https://github.com/DB-Teaching/02-02-triangle-Amit021,12,10,2,2
341,10,02,10-02-rational-numbers-dominikb1888,dominikb1888,https://github.com/DB-Teaching/10-02-rational-numbers-dominikb1888,3,1,0,0
342,10,03,10-03-tournament-dominikb1888,dominikb1888,https://github.com/DB-Teaching/10-03-tournament-dominikb1888,3,1,0,0
343,10,04,10-04-twelve-days-dominikb1888,dominikb1888,https://github.com/DB-Teaching/10-04-twelve-days-dominikb1888,3,1,0,0
344,10,05,10-05-two-bucket-dominikb1888,dominikb1888,https://github.com/DB-Teaching/10-05-two-bucket-dominikb1888,3,1,0,0
345,10,07,10-07-alphametics-dominikb1888,dominikb1888,https://github.com/DB-Teaching/10-07-alphametics-dominikb1888,3,1,0,0
346,10,08,10-08-react-dominikb1888,dominikb1888,https://github.com/DB-Teaching/10-08-react-dominikb1888,3,1,0,0
347,11,01,11-01-word-search-dominikb1888,dominikb1888,https://github.com/DB-Teaching/11-01-word-search-dominikb1888,3,1,0,0
348,11,02,11-02-zipper-dominikb1888,dominikb1888,https://github.com/DB-Teaching/11-02-zipper-dominikb1888,3,1,0,0
349,11,03,11-03-dominoes-dominikb1888,dominikb1888,https://github.com/DB-Teaching/11-03-dominoes-dominikb1888,3,1,0,0
350,12,01,12-01-paasio-dominikb1888,dominikb1888,https://github.com/DB-Teaching/12-01-paasio-dominikb1888,3,1,0,0
351,12,02,12-02-satellite-dominikb1888,dominikb1888,https://github.com/DB-Teaching/12-02-satellite-dominikb1888,3,1,0,0
352,12,03,12-03-sgf-parsing-dominikb1888,dominikb1888,https://github.com/DB-Teaching/12-03-sgf-parsing-dominikb1888,3,1,0,0
353,14,01,14-01-pov-dominikb1888,dominikb1888,https://github.com/DB-Teaching/14-01-pov-dominikb1888,3,1,0,0
354,13,01,13-01-bank-account-dominikb1888,dominikb1888,https://github.com/DB-Teaching/13-01-bank-account-dominikb1888,3,1,0,0
